Size, Type, Time
725000, "Built-in", 0.165463
750000, "Sequential", 0.180049
750000, "Parallel", 0.151434
750000, "Built-in", 0.158119
775000, "Sequential", 0.182951
775000, "Parallel", 0.200164
775000, "Built-in", 0.171633
800000, "Sequential", 0.196107
800000, "Parallel", 0.183133
800000, "Built-in", 0.173428
825000, "Sequential", 0.199062
825000, "Parallel", 0.197470
825000, "Built-in", 0.175630
850000, "Sequential", 0.212664
850000, "Parallel", 0.212537
850000, "Built-in", 0.183633
875000, "Sequential", 0.218306
875000, "Parallel", 0.189525
875000, "Built-in", 0.186895
900000, "Sequential", 0.216585
900000, "Parallel", 0.167232
900000, "Built-in", 0.204306
925000, "Sequential", 0.239574
925000, "Parallel", 0.247956
925000, "Built-in", 0.202655
950000, "Sequential", 0.225338
950000, "Parallel", 0.189573
950000, "Built-in", 0.212873
975000, "Sequential", 0.232867
975000, "Parallel", 0.179282
975000, "Built-in", 0.224945
1000000, "Sequential", 0.236727
1000000, "Parallel", 0.254762
1000000, "Built-in", 0.217589
1025000, "Sequential", 0.248630
1025000, "Parallel", 0.307472
1025000, "Built-in", 0.222523
1050000, "Sequential", 0.254860
1050000, "Parallel", 0.289035
1050000, "Built-in", 0.231895
1075000, "Sequential", 0.255056
1075000, "Parallel", 0.232977
1075000, "Built-in", 0.233018
1100000, "Sequential", 0.256016
1100000, "Parallel", 0.265905
1100000, "Built-in", 0.262135
1125000, "Sequential", 0.291869
1125000, "Parallel", 0.285044
1125000, "Built-in", 0.266133
1150000, "Sequential", 0.306546
1150000, "Parallel", 0.309979
1150000, "Built-in", 0.253474
1175000, "Sequential", 0.310877
1175000, "Parallel", 0.293962
1175000, "Built-in", 0.270537
1200000, "Sequential", 0.304343
1200000, "Parallel", 0.255495
1200000, "Built-in", 0.289332
1225000, "Sequential", 0.311538
1225000, "Parallel", 0.294425
1225000, "Built-in", 0.276040
1250000, "Sequential", 0.306701
1250000, "Parallel", 0.333084
1250000, "Built-in", 0.282011
1275000, "Sequential", 0.316736
1275000, "Parallel", 0.344178
1275000, "Built-in", 0.328008
1300000, "Sequential", 0.347170
1300000, "Parallel", 0.320999
1300000, "Built-in", 0.297612
1325000, "Sequential", 0.337231
1325000, "Parallel", 0.357361
1325000, "Built-in", 0.316918
1350000, "Sequential", 0.352817
1350000, "Parallel", 0.415776
1350000, "Built-in", 0.306587
1375000, "Sequential", 0.387435
1375000, "Parallel", 0.372820
1375000, "Built-in", 0.308015
1400000, "Sequential", 0.364914
1400000, "Parallel", 0.359523
1400000, "Built-in", 0.320880
1425000, "Sequential", 0.390102
1425000, "Parallel", 0.336953
1425000, "Built-in", 0.330651
1450000, "Sequential", 0.364762
1450000, "Parallel", 0.399483
1450000, "Built-in", 0.359401
1475000, "Sequential", 0.351635
1475000, "Parallel", 0.367325
1475000, "Built-in", 0.362099
1500000, "Sequential", 0.392091
1500000, "Parallel", 0.368016
1500000, "Built-in", 0.379882
1525000, "Sequential", 0.360206
1525000, "Parallel", 0.368207
1525000, "Built-in", 0.359139
1550000, "Sequential", 0.392240
1550000, "Parallel", 0.336757
1550000, "Built-in", 0.351228
1575000, "Sequential", 0.411377
1575000, "Parallel", 0.424158
1575000, "Built-in", 0.355598
1600000, "Sequential", 0.388448
1600000, "Parallel", 0.399594
1600000, "Built-in", 0.393565
1625000, "Sequential", 0.409631
1625000, "Parallel", 0.453953
1625000, "Built-in", 0.376351
1650000, "Sequential", 0.408142
1650000, "Parallel", 0.348730
1650000, "Built-in", 0.394379
1675000, "Sequential", 0.412944
1675000, "Parallel", 0.429318
1675000, "Built-in", 0.401081
1700000, "Sequential", 0.464185
1700000, "Parallel", 0.509628
1700000, "Built-in", 0.397485
1725000, "Sequential", 0.454218
1725000, "Parallel", 0.426490
1725000, "Built-in", 0.405080
1750000, "Sequential", 0.445076
1750000, "Parallel", 0.459930
1750000, "Built-in", 0.413285
1775000, "Sequential", 0.429385
1775000, "Parallel", 0.466968
1775000, "Built-in", 0.423747
1800000, "Sequential", 0.458599
1800000, "Parallel", 0.436186
